content_id,content_type_id,content_type_name,title,address,zipcode,longitude,latitude,overview,homepage,contact,hours,featured_menu,menu,parking,closed_days,restroom,credit_card,detail_information,region_code,signgu_code,large_category_code,large_category_name,middle_category_code,middle_category_name,small_category_code,small_category_name,Score_Nature,Score_Food,Score_Photo,Score_Culture,Score_Activity,Score_Shopping,stay_time_minutes,stay_min,stay_max,stay_src,satisfaction_score,qual,qual_rel,qual_category,satisfaction_src,food_tags
2906155,39,음식점,가람,제주특별자치도 제주시 복지로북길 4 1층,63220,126.5206443232,33.4888475823,"가람은 KBS 제주방송총국 인근에 위치한 추어탕 전문점이다. 대표 메뉴인 돌솥밥추어탕은 구수한 추어탕과 돌솥밥이 함께 제공되는 든든한 한 끼로, 양배추샐러드와 단호박 등 건강한 밑반찬을 곁들여 즐길 수 있다. 돌솥밥은 비빔밥으로 먹은 뒤 누룽지까지 맛볼 수 있으며, 들깨를 넣어 깊고 담백하게 끓여낸 추어탕이 많은 사랑을 받고 있다. 여름철에는 녹차 독새기 콩국수도 판매하며, 인근의 민오름과 제주도민속자연사박물관을 함께 둘러보기 좋다.",Unknown,064-756-0012,08:30~21:00,돌솥밥추어탕,녹두빈대떡 / 녹두독세기콩국수 / 제주고사리육개장 등,불가능,매주 토요일,Unknown,Unknown,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,20,100,10,10,10,0,60,45,75,category,0.816,,0.0,0.816,category,"한식,면 요리"
2755053,39,음식점,가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332 (대포동),63544,126.4313090015,33.2496926417,중문관광로에 있는 가람돌솥밥은 어릴 적 해녀이신 어머니가 물질하여 따온 신선한 재료를 얹어 주시던 기억이 생생해 그 정성과 마음을 담아 어머니의 마음을 나누려고 2003년에 문을 열었다. 깔끔한 밑반찬과 성게미역국 인기가 좋으며 모든 상차림에 전복 또는 활어회가 제공된다. 해물돌솥밥을 마가린과 간장에 비벼 먹을 수 있도록 준비해 둔 코너가 인상적이며 친절한 사장님과 직원들이 항상 웃으며 응대한다. 서귀포에서 든든하게 아침밥을 챙겨 먹기 좋은 곳이다.,Unknown,0507-1432-1200,- 08:30~21:00 / - 준비시간 16:00~17:00 / - 마지막 주문 20:00,전복돌솥밥,성게전복돌솥밥 / 전복해물뚝배기 / 한치해물돌솥밥 등,가능,연중무휴,있음,Unknown,화장실: 있음,50,130,FD,음식,FD01,한식,FD010100,관광식당,10,100,20,10,10,0,60,45,75,observed,0.7117,0.6667,0.6988,0.816,blend,"제주 향토음식,해산물 요리,회·물회·초밥,한식"
1866904,39,음식점,가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 24,63623,126.7713633064,33.3530172003,가시식당은 가시보건진료소 인근에 자리 잡은 40년 이상의 전통을 자랑하는 순댓국 전문점이다. 실내는 편안한 가정집 분위기의 입식 홀 구조이다. 돼지 잡뼈를 넣고 우린 육수에 순대와 내장을 말아 뚝배기에 담아내는 순댓국과 철판 위에 은박지를 깔고 볶아먹는 돼지고기 두루치기가 인기메뉴이다.,Unknown,064-787-1035,- 08:30~20:00 / - 준비시간 15:00~17:00 / - 마지막 주문 18:30,순대백반,순대국수 / 두루치기 / 수육 등,가능,"매달 둘째, 넷째 일요일",Unknown,Unknown,Unknown,50,130,FD,음식,FD01,한식,FD010100,관광식당,0,100,20,20,0,0,30,15,45,observed,0.899,1.0,0.4512,0.816,blend,"고기·구이,한식,면 요리"
2791481,39,음식점,가시아방국수,제주특별자치도 서귀포시 성산읍 섭지코지로 10,63641,126.9180930788,33.4386573313,"성산읍에 자리하고 있는 가시아방 국수는 제주 특산 메뉴인 고기 국수를 주력으로 하는 맛집이다. 대표 메뉴인 고기 국수는 진한 육수에 부드럽고 노란 면, 고소한 돔베고기 고명이 조화롭다. 이외에도 비빔국수와 멸치국수 역시 이곳만의 감칠맛으로 인기 메뉴이다. 여러 메뉴를 한 번에 먹고 싶다면 세트 메뉴도 준비되어 있는데, 국수와 돔베고기 1/2을 함께 맛볼 수 있어 가성비 좋게 즐길 수 있다.",Unknown,064-783-0987,- 10:00~20:30 / - 마지막 주문 19:50,고기국수,돔베고기 / 멸치국수 / 물만두 등,가능,매주 수요일,Unknown,Unknown,Unknown,50,130,FD,음식,FD01,한식,FD010100,관광식당,0,100,20,20,10,0,30,15,45,observed,0.7284,0.7273,0.9877,0.816,blend,"제주 향토음식,한식,면 요리"
2837181,39,음식점,가시어멍김밥,제주특별자치도 제주시 월랑로 36,63097,126.4763302701,33.4888641378,"가시어멍김밥은 제주특별자치도 제주시 노형동에 위치한 분식집이다. 제주 공항과 10분 거리인 시내 중심가에 있어 공항 도착 전후의 한 끼 식사로 좋다. 가시어멍은 제주도 방언으로 장모님을 뜻한다. 제주 톳을 넣은 김밥으로 유명해지면서 지금은 전국에 체인점을 가진 가시어멍김밥의 본점이 되었다. 제주에서 자란 신선한 재료를 사용하며, 대표 메뉴는 가시어멍김밥과 김밥도시락세트이고 가시어멍충무김밥과, 한우 떡국도 많이 찾는다. 관광객의 경우 김밥을 포장하여 여행 다니는 사람들이 많다. 오전 7시에 영업을 시작해 아침식사로 먹기에도 좋다. 함께 둘러보기 좋은 주변 관광지로는 이호테우 해변과, 내도 알작지 해변 등이 있다.",https://www.instagram.com/gasieomeong_gimbap,064-747-6316,07:00~20:00 (마지막 주문 19:50),가시어멍김밥,김밥도시락세트 / 한우떡만두국 / 한우톳비빔밥 등,불가능,연중무휴,Unknown,Unknown,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,20,90,10,20,10,20,60,45,75,category,0.816,,0.0,0.816,category,"제주 향토음식,한식,분식·간편식"
2805240,39,음식점,가파도별미식당,제주특별자치도 서귀포시 대정읍 영서중로 59,63510,126.26004038779146,33.22150872289134,가파도별미식당은 가파도 보릿가루로 반죽한 보말보리수제비와 보말죽 삼계탕이 대표 메뉴이다. 크림스프처럼 부드럽고 뜨끈한 보말죽 삼계탕은 환절기 몸보신으로 제격이다.,Unknown,064-794-0320,11:00~19:3014:00~17:00 준비시간18:30 주문 마감※ 재료 소진시 조기마감,보말죽 삼계탕,보말죽 삼계탕 / 전복죽 삼계탕 / 보말보리수제비 외,Unknown,매주 일요일,Unknown,Unknown,Unknown,50,130,FD,음식,FD01,한식,FD010100,관광식당,0,90,10,0,0,0,60,45,75,category,0.816,,0.0,0.816,category,"제주 향토음식,한식,면 요리"
2853435,39,음식점,갈치공장,제주특별자치도 제주시 해맞이해안로 1296,63360,126.8509745258,33.5319348245,"갈치공장은 제주 평대리 해맞이해안로 바닷가에 있다. 카페 같은 분위기의 높은 천장과 깔끔한 인테리어, 통유리창을 통해 바다를 바라보며 갈치조림, 갈치통구이와 전복음식을 맛볼 수 있다. 가격도 관광지 고물가에 비하면 좋은 편으로 오후 4시 30분까지 영업을 하지만, 재료가 소진되면 영업을 종료해 원하는 메뉴를 먹지 못할 수 있다. 근처 여행지로 세화5일장, 평대해변, 세화해변, 월정해변 등이 있다.",Unknown,0507-1493-5591,09:00~16:20 (라스트오더 15:20),갈치조림,전복구이 / 제주은갈치통구이 / 전복뚝배기 / 전복돌솥밥 등,가능,매주 목요일,Unknown,Unknown,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,60,90,70,10,10,0,60,45,75,observed,0.8485,0.875,0.5507,0.816,blend,"제주 향토음식,해산물 요리,한식"
3545966,39,음식점,갈치바다 애월,제주특별자치도 제주시 애월읍 애월로 15-1 1~2층 갈치바다 애월,63043,126.31099269269497,33.460415216807874,"제주시 애월읍에 위치한 갈치바다 애월점의 대표 메뉴는 ‘한 상 세트’이다. 구성은 통갈치구이와 순살 갈치조림을 중심으로 전복버터구이, 전복미역국, 톳밥 등 다양한 해산물 요리가 함께 차려진다. 순살 갈치조림은 갈치에 뼈 제거가 잘 되어 있어 남녀노소 누구나 먹기 편하며, 짜지 않고 깔끔한 양념, 감칠맛 중심의 조림이다. 신선한 제주 갈치를 사용해 풍미가 좋다. 탁 트인 오션뷰와 함께 즐기는 식사가 가능하다. 푸짐한 한 상 구성이며 부족한 반찬은 셀프바에서 자유롭게 추가할 수 있다.",Unknown,0507-1490-0734,10:00~21:00 (마지막 주문 20:00),순살 갈치조림,제주 통갈치구이 / 문어 / 전복미역국 등,가능 (30대),연중무휴,Unknown,Unknown,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,40,100,70,0,10,0,60,45,75,observed,0.8691,0.9,0.6321,0.816,blend,"제주 향토음식,해산물 요리,한식"
2783304,39,음식점,갈치왕,제주특별자치도 서귀포시 일주서로 1146 (상예동),63534,126.3907705168,33.2646820142,"제주 갈치왕은 당일 서귀포항에서 경매한 신선한 갈치를 공수해 저렴한 가격으로 제공하는 갈치 요리 전문점이다. 통갈치 해물찜과 갈치조림 세트는 해산물과 갈치의 풍성한 맛을 동시에 즐길 수 있으며, 밑반찬으로 나오는 옥돔구이, 고등어구이, 갈치회, 간장게장의 맛이 훌륭하다.",Unknown,0507-1343-9333,- 10:30~21:30 / - 준비시간 15:00~17:00 / - 마지막 주문 20:20,가시없는 갈치조림,통갈치 구이 세트 / 통갈치해물찜 / 갈치 실속 세트 등,가능,연중무휴,있음,Unknown,화장실: 있음,50,130,FD,음식,FD01,한식,FD010100,관광식당,0,100,20,0,10,0,60,45,75,observed,0.8768,0.8889,0.8347,0.816,blend,"제주 향토음식,해산물 요리,회·물회·초밥,한식"
1866954,39,음식점,감나무집,제주특별자치도 제주시 오남로 12,63191,126.51954708216,33.4941441700543,"제주에 위치한 감나무집은 숯불구이 전문점이다. 실내는 좌식, 입식 테이블, 개별룸 등 다양한 좌석이 구비된 널찍한 홀 구조여서 각종 단체 모임을 하기에도 좋다. 소양념갈비, 돼지양념갈비, 돼지 생갈비, 소갈비찜이 대표 메뉴이며 그 외 점심 메뉴로 맛볼 수 있는 흑돼지불고기정식, 차돌국밥, 차돌된장찌개 등이 있다.",Unknown,064-722-8292,10:30~22:00 (마지막 주문 21:00),감나무왕갈비,돼지양념갈비 / 돼지생갈비 / 오겹살 등,불가능,연중무휴,Unknown,가능,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,0,90,20,0,10,0,60,45,75,category,0.816,,0.0,0.816,category,"고기·구이,한식"
2854455,39,음식점,감따남,제주특별자치도 서귀포시 월산로 16 1층,63556,126.4946032358,33.2620894948,"감따남은 서귀포 중산간서로 근처 올레 7-1코스, 엉또폭포로 향하는 길목에 있다. 이곳에서 3대째 감귤 농사를 짓고 있는 부부가 운영하는 정원 카페다. 반려동물과 함께라면 야외 정원을 이용할 수 있으며, 감따남 스냅 사진작가가 촬영하는 스냅사진을 예약하여 찍을 수 있다. 웨딩 스냅사진 촬영소로 입소문이 나면서 커플 여행자 방문이 많다. 10월부터는 감귤따기 체험프로그램을 운영하기도 한다. 주변 여행지로 엉또폭포, 고근산 등이 있다. / ※ 반려동물 야외 정원 동반 가능",https://www.instagram.com/gamttanam_cafe,0507-1347-2306,매주 월요일,귤꽃피크닉,시그니처 뀨울라떼 / 감따라떼 / 만감에이드 / 8월의 풋귤 등,가능 / 요금 (무료),11:00~18:00 (라스트오더 17:00),Unknown,Unknown,Unknown,50,130,FD,음식,FD05,카페/ 찻집,FD050100,카페,80,70,90,20,70,10,30,15,45,observed,0.7919,0.75,0.4512,0.8263,blend,
2873679,39,음식점,검은노루,제주특별자치도 서귀포시 대정읍 상모로 257,63510,126.2617326224,33.2238983821,"검은노루는 제주 서귀포시 대정읍에 위치한 음식점으로, 국수 요리와 수육을 주메뉴로 선보인다. 일반적인 메뉴 구성과는 다른 개성 있는 요리를 만날 수 있다. 국수의 면이 일반적으로 사용하는 중면이 아닌, 굵고 탱탱한 칼국수 면발을 사용하며, 국물이 진해 진한 육수의 맛을 느낄 수 있다. 또한 수제 고기산적은 기다란 돔베(도마) 위에 구운 목살, 앞다릿살, 양파, 새우, 버섯 등이 올려져 나오며, 이외에도 목갈비와 구운 채소, 다양한 소스를 함께 즐길 수 있는 ‘노루한판’은 여럿이 함께 나눠먹기 좋은 구성이다. 가게 내부는 빈티지하고 엔틱한 소품들이 배치되어 있어 인테리어를 보는 것도 또 하나의 즐거움이 된다.",https://www.instagram.com/jeju_black_roe_deer,064-792-7552,11:00~20:50 (마지막 주문 19:50),노루한판,고기칼국수 / 메밀국수 / 수육 등,가능,"매주 수요일, 목요일",있음,Unknown,화장실: 있음,50,130,FD,음식,FD01,한식,FD010100,관광식당,10,90,60,20,20,0,60,45,75,category,0.816,,0.0,0.816,category,"고기·구이,한식,면 요리"
2359165,39,음식점,검은여닭도가니,제주특별자치도 서귀포시 토평동,63580,126.5821,33.2439,"제주특별자치도 서귀포시 토평동 검은여 해안 인근에 위치한 검은여닭도가니는 토종닭도가니와 닭백숙 전문점이다. 올레길 코스에 위치하고 있어 간단하게 끼니를 때울 수 있는 다양한 메뉴를 판매하고 있다. 서귀포 칼호텔, 파라다이스 호텔이 인근에 위치해 있고, 바로 앞이 검은여 해안이기 때문에 관광객들이 즐겨 찾고 있다.",Unknown,064-733-3030,11:00~21:00,한방도가니,전복도가니 / 용궁도가니 / 검은여백숙 등,가능,매주 화요일,Unknown,Unknown,Unknown,50,130,FD,음식,FD01,한식,FD010100,관광식당,20,80,30,0,10,0,60,45,75,category,0.816,,0.0,0.816,category,"제주 향토음식,해산물 요리,한식"
2758836,39,음식점,경미네집,제주특별자치도 서귀포시 성산읍 일출로 259,63643,126.9334967787,33.4612828593,"제주의 대표적인 관광 명소인 성산 일출봉 근처에 있는 경미네집은 제대로 된 간판도 없이 입소문만으로 유명해진 식당이다. 이 집의 해물 라면은 양은 냄비에 투박하게 끓여 나오는데 싱싱한 문어와 오징어, 조개가 가득 들어있으면서도 저렴한 가격으로 실속 있게 음식을 즐길 수 있다. 인원수대로 라면을 주문하면 밥은 서비스로 나온다. 아삭아삭한 김치와 함께 먹으면 시원함이 배가 된다. 성게가 가득 올라간 성게 밥과 바로 조리하여 쫀득한 식감이 좋은 전복죽도 일품이다. 오래된 분식집처럼 정감 있는 곳에서 맛보는 따뜻한 음식들이 마음마저 따뜻하게 한다.",http://www.instagram.com/gyeongminejib,0507-1326-2671,08:30~16:00,해물라면,성게밥 / 전복죽 / 해물모둠 등,불가능,매월 마지막 화요일,있음,Unknown,화장실: 있음,50,130,FD,음식,FD01,한식,FD010100,관광식당,20,100,40,20,10,0,30,15,45,observed,0.7486,0.6667,0.4512,0.816,blend,"해산물 요리,한식,면 요리"
2870515,39,음식점,경성수산,제주특별자치도 제주시 한림상로 111,63032,126.2648059954,33.4099473082,"경성수산은 한림종합운동장 근처에 있다. 제주 토박이가 직접 잡은 자연산 해산물, 양식 해산물 등 다양하게 준비하고 있으며 저렴하고 깨끗한 회포장 전문점이다. 식당 내에는 테이블이 4개 정도 있다. 방어, 고등어, 참돔 등 제철 활어를 깨끗하게 손질해 주며 딱새우도 먹기 좋게 껍질을 제거해 준다. 여행자들이 숙소로 포장해 가는 경우가 많으며 매장에서도 간단히 시식할 수 있다. 포장의 경우 1시간 이내 취식을 추천한다. 한림항, 옹포항과도 가깝다.",Unknown,010-2772-6848,16:00~22:20 (마지막 주문 21:30),돌돔,고등어+참돔+딱새우세트 / 참돔+광어+딱새우 / 날치알밥 등,불가능,연중무휴,있음,Unknown,화장실: 있음,50,110,FD,음식,FD01,한식,FD010100,관광식당,0,90,10,0,20,30,30,15,45,observed,0.8572,0.875,0.6988,0.816,blend,회·물회·초밥
